order_fact_key,order_id,customer_id,product_id,region_id,ship_mode_id,order_date,ship_date,discount,unit_price,discount_amount,discount_price,shipping_cost,quantity,total_price,is_return
28,86841,15,1225,904,3,2012-04-29,2012-05-01,0.04,5.98,0.24,5.74,5.2,3,17.22,False
29,86842,15,745,904,3,2013-01-19,2013-01-21,0.0,7.59,0.0,7.59,4.0,4,30.36,False
30,86843,15,167,904,3,2013-01-21,2013-01-23,0.07,4.13,0.29,3.84,6.89,9,34.56,False
31,86836,16,991,905,3,2010-02-12,2010-02-15,0.04,2.98,0.12,2.86,1.58,6,17.16,False
32,86836,16,1011,905,3,2010-02-12,2010-02-14,0.05,115.99,5.8,110.19,2.5,10,1101.9,False
33,86844,16,519,905,2,2013-02-12,2013-02-15,0.08,14.27,1.14,13.13,7.27,3,39.39,False
34,90033,17,377,1588,3,2011-04-20,2011-04-24,0.05,5.85,0.29,5.56,2.27,2,11.12,False
35,90034,17,626,1588,2,2012-04-06,2012-04-08,0.05,7.77,0.39,7.38,9.23,4,29.52,False
36,90031,18,360,1589,3,2010-05-15,2010-05-16,0.05,26.48,1.32,25.16,6.93,17,427.72,False
37,90035,18,248,1589,2,2012-05-15,2012-05-16,0.08,42.98,3.44,39.54,4.62,15,593.1,False
38,90035,18,497,1589,2,2012-05-15,2012-05-15,0.07,8.04,0.56,7.48,8.94,9,67.32,False
39,90038,18,140,1589,3,2013-05-21,2013-05-22,0.08,5.0,0.4,4.6,3.39,13,59.8,False
40,90039,18,821,1589,1,2013-10-02,2013-10-04,0.02,110.98,2.22,108.76,30.0,22,2392.72,False
41,90039,18,177,1589,3,2013-10-02,2013-10-04,0.01,12.53,0.13,12.4,0.5,17,210.8,False
42,90032,19,575,1591,3,2010-05-21,2010-05-23,0.07,12.99,0.91,12.08,9.44,18,217.44,False
43,87656,24,1094,1450,3,2012-03-02,2012-03-04,0.07,205.99,14.42,191.57,2.5,13,2490.41,False
44,90036,20,969,298,2,2012-05-31,2012-06-02,0.06,64.65,3.88,60.77,35.0,13,790.01,False
45,90036,20,151,298,1,2012-05-31,2012-06-01,0.0,15.23,0.0,15.23,27.75,1,15.23,False
46,90037,20,1204,298,3,2013-03-07,2013-03-08,0.0,30.98,0.0,30.98,17.08,1,30.98,False
47,41793,21,360,875,3,2010-05-15,2010-05-16,0.05,26.48,1.32,25.16,6.93,70,1761.2,False
48,42949,21,140,875,3,2010-05-21,2010-05-22,0.08,5.0,0.4,4.6,3.39,58,266.8,False
49,42949,21,575,875,3,2010-05-21,2010-05-23,0.07,12.99,0.91,12.08,9.44,71,857.68,False
50,55269,21,1204,875,3,2011-03-07,2011-03-08,0.0,30.98,0.0,30.98,17.08,1,30.98,False
51,9895,21,377,875,3,2011-04-20,2011-04-24,0.05,5.85,0.29,5.56,2.27,9,50.04,True
52,17860,21,626,875,2,2012-04-06,2012-04-08,0.05,7.77,0.39,7.38,9.23,18,132.84,False
53,26887,21,248,875,2,2012-05-15,2012-05-16,0.08,42.98,3.44,39.54,4.62,60,2372.4,False
54,26887,21,497,875,2,2012-05-15,2012-05-15,0.07,8.04,0.56,7.48,8.94,36,269.28,False
55,50533,21,969,875,2,2012-05-31,2012-06-02,0.06,64.65,3.88,60.77,35.0,50,3038.5,False
56,50533,21,151,875,1,2012-05-31,2012-06-01,0.0,15.23,0.0,15.23,27.75,5,76.15,False
57,18596,21,821,875,1,2013-10-02,2013-10-04,0.02,110.98,2.22,108.76,30.0,88,9570.88,False
58,18596,21,177,875,3,2013-10-02,2013-10-04,0.01,12.53,0.13,12.4,0.5,67,830.8,False
59,87655,23,812,1449,3,2011-11-11,2011-11-12,0.05,14.34,0.72,13.62,5.0,36,490.32,False
60,87655,23,1212,1449,3,2011-11-11,2011-11-12,0.0,30.98,0.0,30.98,8.74,37,1146.26,False
61,87660,23,1173,1449,2,2012-09-10,2012-09-13,0.07,22.84,1.6,21.24,5.47,7,148.68,False
62,87669,23,287,1449,1,2013-11-18,2013-11-25,0.1,146.05,14.61,131.45,80.2,11,1445.95,False
63,87651,24,1184,1450,3,2010-01-28,2010-01-29,0.06,55.48,3.33,52.15,14.3,1,52.15,False
64,87651,24,787,1450,3,2010-01-28,2010-01-30,0.02,1.68,0.03,1.65,1.57,1,1.65,False
65,87662,24,278,1450,3,2012-12-19,2012-12-20,0.06,21.38,1.28,20.1,8.99,5,100.5,False
66,87663,24,571,1450,3,2013-01-13,2013-01-14,0.07,11.7,0.82,10.88,6.96,8,87.04,False
67,87657,25,676,1451,3,2012-04-18,2012-04-20,0.02,5.98,0.12,5.86,3.85,1,5.86,False
68,87657,25,1225,1451,3,2012-04-18,2012-04-20,0.05,5.98,0.3,5.68,5.2,1,5.68,False
69,87666,25,31,1451,3,2013-07-02,2013-07-04,0.06,25.98,1.56,24.42,5.37,7,170.94,False
70,87666,25,391,1451,3,2013-07-02,2013-07-04,0.05,155.06,7.75,147.31,7.07,12,1767.72,False
71,87658,26,244,1452,3,2012-06-27,2012-06-29,0.08,59.98,4.8,55.18,3.99,11,606.98,False
72,87667,26,186,1452,2,2013-09-02,2013-09-03,0.0,2.89,0.0,2.89,0.5,7,20.23,False
73,87670,26,198,1452,3,2013-12-11,2013-12-12,0.09,3.69,0.33,3.36,0.5,15,50.4,False
74,87670,26,1090,1452,3,2013-12-11,2013-12-12,0.06,65.99,3.96,62.03,8.99,3,186.09,False
75,87652,27,422,1453,3,2010-11-02,2010-11-04,0.04,4.14,0.17,3.97,6.6,12,47.64,False
76,87659,27,1137,1453,3,2012-07-12,2012-07-14,0.1,35.44,3.54,31.9,19.99,4,127.6,False
77,87659,27,1184,1453,3,2012-07-12,2012-07-17,0.06,55.48,3.33,52.15,14.3,9,469.35,False
78,87661,27,44,1453,2,2012-10-26,2012-10-26,0.0,8.09,0.0,8.09,7.96,23,186.07,False
79,87661,27,339,1453,3,2012-10-26,2012-10-28,0.06,14.2,0.85,13.35,5.3,11,146.85,False
80,87668,27,938,1453,3,2013-11-02,2013-11-04,0.01,65.99,0.66,65.33,8.99,29,1894.57,False
81,87653,28,802,1454,3,2011-01-22,2011-01-23,0.06,2.88,0.17,2.71,0.7,1,2.71,False
82,87665,28,589,1454,3,2013-04-14,2013-04-16,0.07,225.04,15.75,209.29,11.79,1,209.29,False
83,87654,29,1014,1455,3,2011-01-30,2011-02-01,0.08,65.99,5.28,60.71,3.9,3,182.13,False
84,87664,29,174,1455,3,2013-01-30,2013-01-31,0.08,3.08,0.25,2.83,0.99,1,2.83,False
85,89206,31,1202,1615,3,2012-08-11,2012-08-13,0.01,6.48,0.06,6.42,6.65,15,96.3,False
86,89199,32,641,1616,3,2010-02-22,2010-02-23,0.08,34.99,2.8,32.19,7.73,13,418.47,False
87,89200,32,312,1616,3,2010-03-27,2010-03-28,0.01,17.98,0.18,17.8,8.51,2,35.6,False
88,89202,32,1008,1616,2,2010-07-20,2010-07-22,0.09,125.99,11.34,114.65,7.69,8,917.2,False
89,89203,32,1068,1616,3,2010-09-12,2010-09-19,0.06,205.99,12.36,193.63,8.99,22,4259.86,False
90,89204,32,887,1616,3,2011-10-06,2011-10-08,0.08,8.95,0.72,8.23,2.01,15,123.45,False
91,89207,32,316,1616,1,2013-06-12,2013-06-14,0.06,449.99,27.0,422.99,49.0,5,2114.95,False
92,89201,33,1022,1617,3,2010-06-15,2010-06-17,0.03,4.24,0.13,4.11,5.41,13,53.43,False
93,89201,33,797,1617,3,2010-06-15,2010-06-16,0.04,2.94,0.12,2.82,0.7,18,50.76,False
94,89205,33,1127,1617,3,2012-01-26,2012-01-27,0.05,4.82,0.24,4.58,5.24,5,22.9,False
95,89208,33,807,1617,1,2013-08-16,2013-08-18,0.05,70.98,3.55,67.43,30.0,9,606.87,False
96,89208,33,988,1617,3,2013-08-16,2013-08-18,0.05,4.98,0.25,4.73,4.7,9,42.57,False
97,91256,35,865,1617,3,2012-11-27,2012-11-28,0.0,6783.02,0.0,6783.02,24.49,3,20349.06,False
98,91257,35,1010,1617,3,2013-05-28,2013-06-02,0.07,65.99,4.62,61.37,3.99,7,429.59,False
99,91256,36,1132,1618,2,2012-11-27,2012-11-29,0.02,9.27,0.19,9.08,4.39,29,263.32,False
100,91256,36,1203,1618,3,2012-11-27,2012-11-29,0.03,6.68,0.2,6.48,6.15,10,64.8,False
101,91256,37,1211,1619,3,2012-11-27,2012-11-30,0.1,5.78,0.58,5.2,5.67,11,57.2,False
102,88682,39,787,2,3,2011-07-03,2011-07-04,0.02,1.68,0.03,1.65,1.57,10,16.5,False
103,88682,39,925,2,3,2011-07-03,2011-07-05,0.1,7.08,0.71,6.37,2.35,14,89.18,False
104,88684,39,281,2,2,2013-06-12,2013-06-15,0.07,28.15,1.97,26.18,8.99,4,104.72,False
105,88683,40,688,1659,3,2013-03-21,2013-03-23,0.09,7.98,0.72,7.26,6.5,4,29.04,False
106,91455,42,702,1686,3,2012-11-05,2012-11-06,0.09,45.99,4.14,41.85,4.99,8,334.8,False
107,91458,42,44,1686,3,2013-11-26,2013-11-29,0.07,8.09,0.57,7.52,7.96,36,270.72,False
108,91458,42,80,1686,3,2013-11-26,2013-11-27,0.03,20.99,0.63,20.36,1.25,9,183.24,False
109,91454,43,163,1687,3,2010-11-10,2010-11-11,0.0,99.99,0.0,99.99,19.99,6,599.94,False
110,91456,43,120,1687,3,2013-02-26,2013-03-04,0.05,9.31,0.47,8.84,3.98,9,79.56,False
111,91457,43,548,1687,1,2013-08-30,2013-09-01,0.06,95.98,5.76,90.22,58.2,15,1353.3,False
112,91578,45,242,358,3,2012-02-24,2012-02-26,0.1,39.48,3.95,35.53,3.99,13,461.89,False
113,91579,45,142,358,3,2012-09-23,2012-09-23,0.08,5.81,0.46,5.35,3.37,18,96.3,False
114,91579,46,766,1357,3,2012-09-23,2012-09-25,0.0,30.97,0.0,30.97,4.0,3,92.91,False
115,91579,46,457,1357,3,2012-09-23,2012-09-25,0.0,17.67,0.0,17.67,8.99,20,353.4,False
116,87712,48,312,78,3,2011-08-15,2011-08-15,0.06,17.98,1.08,16.9,8.51,1,16.9,False
117,87713,48,190,78,3,2012-08-13,2012-08-16,0.07,4.13,0.29,3.84,0.5,22,84.48,False
118,87714,48,941,78,3,2012-10-10,2012-10-11,0.03,7.31,0.22,7.09,0.49,19,134.71,False
119,87714,48,86,78,3,2012-10-10,2012-10-11,0.01,20.99,0.21,20.78,2.5,12,249.36,False
120,87715,48,1100,78,3,2013-01-11,2013-01-12,0.06,39.24,2.35,36.89,1.99,9,332.01,False
121,87710,49,475,79,3,2011-03-29,2011-03-29,0.08,67.84,5.43,62.41,0.99,1,62.41,False
122,87711,49,2,79,2,2011-05-18,2011-05-19,0.04,7.64,0.31,7.33,1.39,1,7.33,False
123,87712,49,508,79,3,2011-08-15,2011-08-17,0.04,12.95,0.52,12.43,4.98,5,62.15,False
124,87716,49,25,79,3,2013-02-17,2013-02-19,0.0,65.99,0.0,65.99,5.31,10,659.9,False
125,87717,49,466,79,3,2013-03-02,2013-03-03,0.1,30.73,3.07,27.66,4.0,7,193.62,False
126,87718,49,584,79,1,2013-03-12,2013-03-14,0.06,200.97,12.06,188.91,15.59,4,755.64,False
127,87719,49,6,79,3,2013-10-06,2013-10-07,0.09,2.6,0.23,2.37,2.4,6,14.22,False
128,87719,49,858,79,3,2013-10-06,2013-10-08,0.07,14.97,1.05,13.92,7.51,4,55.68,False
129,87710,50,909,80,3,2011-03-29,2011-04-01,0.04,276.2,11.05,265.15,24.49,8,2121.2,False
130,88426,52,49,1686,3,2010-09-10,2010-09-10,0.0,115.99,0.0,115.99,2.5,6,695.94,False
131,88427,52,1039,1686,3,2011-09-10,2011-09-11,0.02,40.97,0.82,40.15,1.99,13,521.95,False
132,88428,52,372,1686,3,2012-11-06,2012-11-07,0.08,7.7,0.62,7.08,3.68,17,120.36,False
133,88425,53,831,1687,1,2010-07-28,2010-07-30,0.07,3502.14,245.15,3256.99,8.73,1,3256.99,False
134,88426,53,1155,1687,3,2010-09-10,2010-09-11,0.02,5.98,0.12,5.86,5.79,17,99.62,False
135,88429,53,174,1687,3,2013-02-19,2013-02-21,0.09,3.08,0.28,2.8,0.99,11,30.8,False
136,88076,55,604,905,1,2011-10-06,2011-10-07,0.03,44.43,1.33,43.1,46.59,14,603.4,False
137,88077,55,837,905,1,2011-10-20,2011-10-25,0.07,130.98,9.17,121.81,54.74,6,730.86,False
138,88081,55,156,905,3,2013-04-10,2013-04-10,0.01,15.68,0.16,15.52,3.73,2,31.04,False
139,88081,55,710,905,2,2013-04-10,2013-04-14,0.04,71.37,2.85,68.52,69.0,11,753.72,False
140,88075,56,392,906,3,2010-10-20,2010-10-21,0.06,3.8,0.23,3.57,1.49,20,71.4,False
141,88075,56,780,906,3,2010-10-20,2010-10-21,0.06,1.76,0.11,1.65,0.7,17,28.05,False
142,88077,56,1070,906,3,2011-10-20,2011-10-27,0.04,4.76,0.19,4.57,3.01,23,105.11,False
143,88079,56,781,906,2,2013-01-11,2013-01-13,0.01,5.84,0.06,5.78,1.2,11,63.58,False
144,88080,56,1021,906,3,2013-02-08,2013-02-09,0.1,5.94,0.59,5.35,9.92,7,37.45,False
145,88080,56,54,906,3,2013-02-08,2013-02-09,0.1,65.99,6.6,59.39,2.5,6,356.34,False
146,88082,56,511,906,3,2013-12-27,2013-12-30,0.1,525.98,52.6,473.38,19.99,15,7100.7,False
147,88082,56,41,906,3,2013-12-27,2013-12-29,0.1,115.99,11.6,104.39,8.99,21,2192.19,False
148,87413,59,1175,421,2,2013-02-23,2013-02-25,0.08,6.48,0.52,5.96,6.81,8,47.68,False
149,87413,59,798,421,3,2013-02-23,2013-02-25,0.02,2.78,0.06,2.72,0.97,6,16.32,False
150,87410,60,799,422,3,2012-06-10,2012-06-12,0.03,2.88,0.09,2.79,0.7,20,55.8,False
151,88078,57,642,907,3,2012-01-21,2012-01-23,0.06,11.66,0.7,10.96,7.95,10,109.6,False
152,87416,59,629,421,3,2013-03-14,2013-03-15,0.0,3.95,0.0,3.95,5.13,11,43.45,False
153,87417,59,384,421,1,2013-04-03,2013-04-04,0.09,150.98,13.59,137.39,57.2,5,686.95,False
154,87417,59,406,421,3,2013-04-03,2013-04-04,0.02,38.94,0.78,38.16,35.0,10,381.6,False
155,87410,60,206,422,3,2012-06-10,2012-06-12,0.08,4.18,0.33,3.85,2.99,16,61.6,False
156,87420,60,558,422,1,2013-07-21,2013-07-21,0.08,89.99,7.2,82.79,42.0,2,165.58,False
157,87409,61,835,423,1,2011-11-18,2011-11-18,0.05,81.94,4.1,77.84,55.81,28,2179.52,False
158,87411,61,984,423,3,2012-10-07,2012-10-16,0.03,6.08,0.18,5.9,1.82,20,118.0,False
159,87412,61,854,423,3,2013-02-13,2013-02-16,0.1,9.93,0.99,8.94,1.09,4,35.76,False
160,87414,61,1161,423,3,2013-03-02,2013-03-03,0.04,19.98,0.8,19.18,5.86,5,95.9,False
161,87422,61,1099,423,3,2013-11-11,2013-11-14,0.0,22.24,0.0,22.24,1.99,15,333.6,False
162,87422,61,1102,423,3,2013-11-11,2013-11-12,0.0,29.89,0.0,29.89,1.99,22,657.58,False
163,87407,62,1174,424,3,2010-11-09,2010-11-11,0.02,5.98,0.12,5.86,5.15,3,17.58,False
164,87408,62,959,424,3,2010-12-12,2010-12-14,0.04,29.14,1.17,27.97,4.86,17,475.49,False
165,87415,62,377,424,3,2013-03-07,2013-03-12,0.09,5.85,0.53,5.32,2.27,3,15.96,False
166,87423,62,687,424,3,2013-12-12,2013-12-14,0.02,20.89,0.42,20.47,11.52,20,409.4,False
167,87415,63,1074,425,3,2013-03-07,2013-03-16,0.07,70.97,4.97,66.0,3.5,3,198.0,False
168,87418,63,244,425,2,2013-05-02,2013-05-09,0.02,59.98,1.2,58.78,3.99,16,940.48,False
169,87418,63,25,425,3,2013-05-02,2013-05-07,0.06,65.99,3.96,62.03,5.31,13,806.39,False
170,87419,63,386,425,3,2013-06-07,2013-06-11,0.1,8.34,0.83,7.51,0.96,1,7.51,False
171,87419,63,309,425,3,2013-06-07,2013-06-14,0.04,140.99,5.64,135.35,13.99,5,676.75,False
172,87406,64,187,1376,3,2010-03-02,2010-03-04,0.0,3.69,0.0,3.69,0.5,1,3.69,False
173,87406,64,37,1376,2,2010-03-02,2010-03-02,0.02,175.99,3.52,172.47,4.99,4,689.88,False
174,87414,64,373,1376,3,2013-03-02,2013-03-04,0.03,92.23,2.77,89.46,39.61,5,447.3,False
175,87421,64,90,1376,3,2013-08-26,2013-08-28,0.05,55.99,2.8,53.19,5.0,23,1223.37,False
176,87948,65,666,1480,3,2012-05-02,2012-05-03,0.01,205.99,2.06,203.93,19.99,13,2651.09,False
177,87948,66,774,1481,3,2012-05-02,2012-05-04,0.09,162.93,14.66,148.27,19.99,14,2075.78,False
178,87951,66,271,1481,3,2013-06-12,2013-06-13,0.06,9.11,0.55,8.56,2.15,15,128.4,False
179,87946,67,391,1482,3,2010-01-02,2010-01-09,0.05,155.06,7.75,147.31,7.07,8,1178.48,False
180,87949,67,599,1482,1,2013-01-02,2013-01-02,0.0,291.73,0.0,291.73,48.8,1,291.73,False
181,87949,67,619,1482,1,2013-01-02,2013-01-04,0.07,100.98,7.07,93.91,45.0,12,1126.92,False
182,87950,67,655,1482,3,2013-03-12,2013-03-14,0.1,367.99,36.8,331.19,19.99,9,2980.71,False
183,87950,67,1022,1482,3,2013-03-12,2013-03-14,0.1,4.24,0.42,3.82,5.41,5,19.1,False
184,37537,68,599,886,1,2010-01-02,2010-01-02,0.0,291.73,0.0,291.73,48.8,4,1166.92,False
185,37537,68,619,886,1,2010-01-02,2010-01-04,0.07,100.98,7.07,93.91,45.0,43,4038.13,False
186,37537,68,391,886,3,2010-01-02,2010-01-09,0.05,155.06,7.75,147.31,7.07,32,4713.92,False
187,55713,68,553,886,1,2010-02-02,2010-02-04,0.09,122.99,11.07,111.92,70.2,49,5484.08,False
188,2978,68,666,886,3,2012-05-02,2012-05-03,0.01,205.99,2.06,203.93,19.99,53,10808.29,False
189,2978,68,774,886,3,2012-05-02,2012-05-04,0.09,162.93,14.66,148.27,19.99,57,8451.39,False
190,2978,68,14,886,3,2012-05-02,2012-05-03,0.07,200.99,14.07,186.92,4.2,44,8224.48,False
191,26274,68,271,886,3,2013-06-12,2013-06-13,0.06,9.11,0.55,8.56,2.15,62,530.72,False
192,87948,69,14,1037,3,2012-05-02,2012-05-03,0.07,200.99,14.07,186.92,4.2,11,2056.12,False
193,44099,68,655,886,3,2013-03-12,2013-03-14,0.1,367.99,36.8,331.19,19.99,34,11260.46,False
194,44099,68,1022,886,3,2013-03-12,2013-03-14,0.1,4.24,0.42,3.82,5.41,19,72.58,False
195,87947,70,553,1044,1,2010-02-02,2010-02-04,0.09,122.99,11.07,111.92,70.2,12,1343.04,False
196,89248,72,126,550,2,2012-08-12,2012-08-19,0.06,6.88,0.41,6.47,2.0,18,116.46,False
197,89250,73,1224,625,3,2013-10-28,2013-10-30,0.02,22.84,0.46,22.38,8.18,22,492.36,False
198,89249,74,590,776,3,2012-12-10,2012-12-12,0.09,21.78,1.96,19.82,5.94,7,138.74,False
199,89247,75,40,779,2,2012-04-11,2012-04-13,0.06,65.99,3.96,62.03,8.99,6,372.18,False
200,89247,76,564,831,3,2012-04-11,2012-04-12,0.1,159.99,16.0,143.99,5.5,5,719.95,False
201,89247,77,1251,837,3,2012-04-11,2012-04-13,0.1,6.48,0.65,5.83,8.73,10,58.3,False
202,89247,78,1043,1043,3,2012-04-11,2012-04-12,0.02,19.99,0.4,19.59,11.17,2,39.18,False
203,89923,80,816,1619,1,2011-02-06,2011-02-06,0.03,180.98,5.43,175.55,30.0,7,1228.85,False
204,89924,80,233,1619,3,2011-05-19,2011-05-20,0.01,3.57,0.04,3.53,4.17,17,60.01,False
205,89924,80,341,1619,3,2011-05-19,2011-05-20,0.07,37.76,2.64,35.12,12.9,15,526.8,False
206,89924,80,254,1619,1,2011-05-19,2011-05-21,0.02,124.49,2.49,122.0,51.94,13,1586.0,False
207,89925,80,1044,1619,3,2011-05-29,2011-05-31,0.03,105.98,3.18,102.8,13.99,7,719.6,False
208,89926,80,19,1619,2,2012-07-16,2012-07-17,0.05,210.55,10.53,200.02,9.99,1,200.02,False
209,89926,81,1066,1621,2,2012-07-16,2012-07-17,0.0,125.99,0.0,125.99,7.69,7,881.93,False
210,89927,81,728,1621,3,2013-01-04,2013-01-05,0.09,9.85,0.89,8.96,4.82,13,116.48,False
211,89927,81,870,1621,3,2013-01-04,2013-01-05,0.01,2.94,0.03,2.91,0.81,5,14.55,False
212,87365,83,605,923,1,2010-03-15,2010-03-15,0.04,296.18,11.85,284.33,54.12,6,1705.98,False
213,87369,83,1132,923,3,2012-03-05,2012-03-06,0.07,9.27,0.65,8.62,4.39,10,86.2,False
214,87369,83,215,923,3,2012-03-05,2012-03-06,0.01,3.85,0.04,3.81,0.7,12,45.72,False
215,87372,83,417,923,3,2013-09-01,2013-09-03,0.03,9.38,0.28,9.1,4.93,17,154.7,False
216,87364,84,44,924,3,2010-02-02,2010-02-03,0.0,8.09,0.0,8.09,7.96,11,88.99,False
217,87366,84,515,924,3,2010-09-30,2010-10-02,0.08,896.99,71.76,825.23,19.99,13,10727.99,False
218,87368,84,625,924,2,2011-10-29,2011-10-31,0.02,232.58,4.65,227.93,19.99,18,4102.74,False
219,87368,84,881,924,3,2011-10-29,2011-10-31,0.08,26.17,2.09,24.08,1.39,14,337.12,False
220,87368,84,425,924,3,2011-10-29,2011-11-01,0.0,15.31,0.0,15.31,8.78,2,30.62,False
221,87370,84,191,924,3,2013-04-14,2013-04-14,0.1,2.88,0.29,2.59,0.5,6,15.54,False
222,87373,84,607,924,1,2013-09-30,2013-10-01,0.02,243.98,4.88,239.1,62.94,5,1195.5,False
223,87367,85,608,925,1,2011-04-10,2011-04-19,0.07,243.98,17.08,226.9,43.32,12,2722.8,False
224,87370,85,331,925,1,2013-04-14,2013-04-15,0.08,550.98,44.08,506.9,45.7,5,2534.5,False
225,87371,85,511,925,3,2013-04-19,2013-04-21,0.09,525.98,47.34,478.64,19.99,9,4307.76,False
226,90596,87,495,1535,3,2010-06-03,2010-06-08,0.05,161.55,8.08,153.47,19.99,19,2915.93,False
227,90597,87,182,1535,3,2010-09-22,2010-09-23,0.09,4.91,0.44,4.47,0.5,9,40.23,False
228,90597,87,605,1535,1,2010-09-22,2010-09-25,0.01,296.18,2.96,293.22,54.12,9,2638.98,False
229,90599,87,502,1535,3,2013-04-15,2013-04-17,0.05,18.84,0.94,17.9,3.62,13,232.7,False
230,90598,88,466,1046,2,2011-12-13,2011-12-15,0.02,30.73,0.61,30.12,4.0,14,421.68,False
231,87181,90,250,1535,2,2012-02-07,2012-02-07,0.1,35.48,3.55,31.93,35.0,10,319.3,False
232,87175,91,879,1536,3,2010-05-17,2010-05-18,0.07,19.84,1.39,18.45,4.1,9,166.05,False
233,87176,91,154,1536,3,2010-08-18,2010-08-20,0.05,5.18,0.26,4.92,2.04,10,49.2,False
234,87177,91,15,1536,3,2010-09-04,2010-09-06,0.06,175.99,10.56,165.43,8.99,23,3804.89,False
235,87181,91,1088,1536,3,2012-02-07,2012-02-07,0.07,99.99,7.0,92.99,19.99,3,278.97,False
236,87181,91,285,1536,3,2012-02-07,2012-02-09,0.08,30.98,2.48,28.5,8.99,13,370.5,False
237,87182,91,433,1536,2,2012-09-08,2012-09-10,0.05,2.08,0.1,1.98,5.33,3,5.94,False
238,87182,91,367,1536,2,2012-09-08,2012-09-13,0.08,15.42,1.23,14.19,10.68,21,297.99,False
239,87175,92,893,1251,3,2010-05-17,2010-05-19,0.07,8.34,0.58,7.76,1.43,16,124.16,False
240,87175,92,1150,1251,3,2010-05-17,2010-05-18,0.09,4.98,0.45,4.53,6.07,9,40.77,False
241,87178,92,115,1251,2,2010-12-07,2010-12-09,0.04,12.98,0.52,12.46,3.14,16,199.36,False
242,87179,92,728,1251,3,2011-04-02,2011-04-03,0.06,9.85,0.59,9.26,4.82,5,46.3,False
243,87185,92,70,1251,3,2013-11-22,2013-11-23,0.08,20.99,1.68,19.31,0.99,30,579.3,False
244,87180,93,978,1379,2,2011-11-22,2011-11-24,0.01,9.78,0.1,9.68,1.39,11,106.48,False
245,87183,93,521,1379,3,2012-12-18,2012-12-19,0.01,7.38,0.07,7.31,11.51,20,146.2,False
246,87183,93,1109,1379,2,2012-12-18,2012-12-20,0.1,3.71,0.37,3.34,1.93,8,26.72,False
247,87183,93,665,1379,1,2012-12-18,2012-12-20,0.01,150.98,1.51,149.47,16.01,25,3736.75,False
