region_id,region,state_or_province,city,postal_code,total_revenue,total_customers,revenue_per_customer,total_orders,order_value,return_rate,avg_order_value
43,Central,Illinois,Glenview,60025,3095.09,2,1547.55,4,,0.0,773.77
44,Central,Illinois,Granite City,62040,7506.22,1,7506.22,4,,0.0,1876.56
45,Central,Illinois,Gurnee,60031,4675.55,2,2337.78,6,,0.0,779.26
46,Central,Illinois,Hanover Park,60103,396.87,1,396.87,4,,0.0,99.22
47,Central,Illinois,Highland Park,60035,2076.3,1,2076.3,5,,0.0,415.26
48,Central,Illinois,Hoffman Estates,60194,807.5,1,807.5,2,,0.0,403.75
49,Central,Illinois,Joliet,60432,1864.93,2,932.47,6,,0.0,310.82
50,Central,Illinois,Kankakee,60901,5211.08,2,2605.54,7,,0.0,744.44
51,Central,Illinois,Lake In The Hills,60102,1808.01,2,904.01,5,,0.0,361.6
52,Central,Illinois,Lansing,60438,4560.91,2,2280.46,7,,0.0,651.56
53,Central,Illinois,Lombard,60148,455.14,1,455.14,2,,0.0,227.57
54,Central,Illinois,Melrose Park,60160,1228.13,1,1228.13,4,,0.0,307.03
55,Central,Illinois,Moline,61265,1532.26,1,1532.26,3,,0.0,510.75
56,Central,Illinois,Mount Prospect,60056,1468.41,2,734.21,3,,0.0,489.47
57,Central,Illinois,Mundelein,60060,19460.88,1,19460.88,6,,0.0,3243.48
58,Central,Illinois,Naperville,60540,3551.54,1,3551.54,2,,0.0,1775.77
59,Central,Illinois,Normal,61761,5237.33,1,5237.33,4,,0.0,1309.33
60,Central,Illinois,Northbrook,60062,4511.65,1,4511.65,3,,0.0,1503.88
61,Central,Illinois,Oak Forest,60452,1597.6,3,532.53,6,,0.0,266.27
62,Central,Illinois,Oak Lawn,60453,2799.03,1,2799.03,4,,0.0,699.76
63,Central,Illinois,Oak Park,60302,1361.09,1,1361.09,2,,0.0,680.55
64,Central,Illinois,Orland Park,60462,1967.49,2,983.75,3,,0.0,655.83
65,Central,Illinois,Oswego,60543,6510.37,2,3255.19,5,,0.0,1302.07
66,Central,Illinois,Palatine,60067,1970.26,1,1970.26,4,,0.0,492.57
67,Central,Illinois,Park Ridge,60068,1492.64,2,746.32,4,,0.0,373.16
68,Central,Illinois,Pekin,61554,4851.36,1,4851.36,5,,0.0,970.27
69,Central,Illinois,Peoria,61604,7963.14,2,3981.57,6,,0.0,1327.19
70,Central,Illinois,Plainfield,60544,6797.47,2,3398.74,7,,0.0,971.07
71,Central,Illinois,Quincy,62301,919.5,2,459.75,6,,0.0,153.25
72,Central,Illinois,Rock Island,61201,2595.42,2,1297.71,6,,0.0,432.57
73,Central,Illinois,Rockford,61107,12320.76,3,4106.92,10,,0.0,1232.08
74,Central,Illinois,Romeoville,60441,5304.14,3,1768.05,7,,0.0,757.73
75,Central,Illinois,Saint Charles,60174,7120.92,2,3560.46,9,,0.0,791.21
76,Central,Illinois,Schaumburg,60193,14099.16,2,7049.58,3,,0.0,4699.72
77,Central,Illinois,Skokie,60076,5324.5,2,2662.25,4,,0.0,1331.13
78,Central,Illinois,Springfield,62701,3419.67,2,1709.84,6,,0.0,569.95
79,Central,Illinois,Streamwood,60107,1810.95,1,1810.95,7,,0.0,258.71
80,Central,Illinois,Tinley Park,60477,8627.79,3,2875.93,7,,0.0,1232.54
81,Central,Illinois,Urbana,61801,1788.8,3,596.27,6,,0.0,298.13
82,Central,Illinois,Vernon Hills,60061,12980.55,1,12980.55,6,,0.0,2163.43
83,Central,Illinois,Waukegan,60087,432.63,1,432.63,2,,0.0,216.32
84,Central,Illinois,West Chicago,60185,5237.65,1,5237.65,2,,0.0,2618.83
85,Central,Illinois,Wheaton,60187,180.66,1,180.66,1,,0.0,180.66
86,Central,Illinois,Wheeling,60090,5855.07,2,2927.54,5,,0.0,1171.01
87,Central,Illinois,Wilmette,60091,5994.37,1,5994.37,5,,0.0,1198.87
88,Central,Illinois,Woodridge,60517,484.62,1,484.62,5,,0.0,96.92
89,Central,Illinois,Woodstock,60098,5242.13,1,5242.13,2,,0.0,2621.07
90,Central,Indiana,Anderson,46016,945.31,1,945.31,4,,0.0,236.33
91,Central,Indiana,Bloomington,47401,1691.47,1,1691.47,2,,0.0,845.74
92,Central,Indiana,Carmel,46032,4717.4,1,4717.4,1,,0.0,4717.4
93,Central,Indiana,Columbus,47201,2533.57,1,2533.57,4,,0.0,633.39
94,Central,Indiana,Crown Point,46307,1039.78,1,1039.78,5,,0.0,207.96
95,Central,Indiana,East Chicago,46312,3757.93,2,1878.97,7,,0.0,536.85
96,Central,Indiana,Elkhart,46514,835.35,1,835.35,2,,0.0,417.68
97,Central,Indiana,Fort Wayne,46806,11126.51,1,11126.51,6,,0.0,1854.42
98,Central,Indiana,Frankfort,46041,799.86,2,399.93,5,,0.0,159.97
99,Central,Indiana,Gary,46404,16426.14,1,16426.14,3,,0.0,5475.38
100,Central,Indiana,Granger,46530,743.48,1,743.48,5,,0.0,148.7
101,Central,Indiana,Greenwood,46142,600.05,1,600.05,1,,0.0,600.05
102,Central,Indiana,Hammond,46324,7114.33,1,7114.33,5,,0.0,1422.87
103,Central,Indiana,Highland,46322,3907.62,2,1953.81,6,,0.0,651.27
104,Central,Indiana,Hobart,46342,845.59,1,845.59,4,,0.0,211.4
105,Central,Indiana,Indianapolis,46203,4697.93,3,1565.98,13,,0.0,361.38
106,Central,Indiana,Jeffersonville,47130,10463.35,2,5231.68,6,,0.0,1743.89
107,Central,Indiana,Kokomo,46901,5525.2,2,2762.6,8,,0.0,690.65
108,Central,Indiana,La Porte,46350,1710.88,1,1710.88,4,,0.0,427.72
109,Central,Indiana,Lafayette,47905,9643.15,3,3214.38,6,,0.0,1607.19
110,Central,Indiana,Lawrence,46226,540.38,1,540.38,4,,0.0,135.1
111,Central,Indiana,Marion,46952,11210.78,1,11210.78,5,,0.0,2242.16
112,Central,Indiana,Merrillville,46410,4589.71,2,2294.86,3,,0.0,1529.9
113,Central,Indiana,Michigan City,46360,5319.53,2,2659.77,4,,0.0,1329.88
114,Central,Indiana,Mishawaka,46544,7502.92,1,7502.92,3,,0.0,2500.97
115,Central,Indiana,Muncie,47302,4341.98,1,4341.98,2,,0.0,2170.99
116,Central,Indiana,Munster,46321,4621.58,3,1540.53,7,,0.0,660.23
117,Central,Indiana,New Albany,47150,3468.75,2,1734.38,5,,0.0,693.75
118,Central,Indiana,New Castle,47362,2696.76,1,2696.76,4,,0.0,674.19
119,Central,Indiana,Noblesville,46060,4692.42,1,4692.42,2,,0.0,2346.21
120,Central,Indiana,Portage,46368,3201.0,1,3201.0,4,,0.0,800.25
121,Central,Indiana,Richmond,47374,12377.36,2,6188.68,7,,0.0,1768.19
122,Central,Indiana,Schererville,46375,4891.26,1,4891.26,5,,0.0,978.25
123,Central,Indiana,Seymour,47274,7295.07,1,7295.07,2,,0.0,3647.54
124,Central,Indiana,South Bend,46614,495.18,1,495.18,3,,0.0,165.06
125,Central,Indiana,Terre Haute,47802,842.1,1,842.1,2,,0.0,421.05
126,Central,Indiana,Valparaiso,46383,5086.32,1,5086.32,5,,0.0,1017.26
127,Central,Indiana,Vincennes,47591,12232.43,1,12232.43,5,,0.0,2446.49
128,Central,Indiana,West Lafayette,47906,8224.35,1,8224.35,6,,0.0,1370.73
129,Central,Iowa,Ames,50010,2201.45,2,1100.73,3,,0.0,733.82
130,Central,Iowa,Ankeny,50021,422.14,1,422.14,3,,0.0,140.71
131,Central,Iowa,Bettendorf,52722,2674.9,2,1337.45,5,,0.0,534.98
132,Central,Iowa,Burlington,52601,4504.95,1,4504.95,4,,0.0,1126.24
133,Central,Iowa,Cedar Falls,50613,292.08,1,292.08,4,,0.0,73.02
134,Central,Iowa,Cedar Rapids,52402,3615.86,2,1807.93,5,,0.0,723.17
135,Central,Iowa,Clinton,52732,1887.99,1,1887.99,5,,0.0,377.6
136,Central,Iowa,Coralville,52241,1187.85,1,1187.85,4,,0.0,296.96
137,Central,Iowa,Council Bluffs,51503,880.83,2,440.42,5,,0.0,176.17
138,Central,Iowa,Davenport,52803,69.25,1,69.25,1,,0.0,69.25
139,Central,Iowa,Des Moines,50315,4744.66,1,4744.66,4,,0.0,1186.17
140,Central,Iowa,Dubuque,52001,2309.0,2,1154.5,5,,0.0,461.8
141,Central,Iowa,Fort Dodge,50501,2861.03,1,2861.03,4,,0.0,715.26
142,Central,Iowa,Iowa City,52240,2081.85,2,1040.93,4,,0.0,520.46
143,Central,Iowa,Marion,52302,3298.6,1,3298.6,6,,0.0,549.77
144,Central,Iowa,Marshalltown,50158,3800.05,2,1900.03,9,,0.0,422.23
145,Central,Iowa,Mason City,50401,7830.91,2,3915.46,9,,0.0,870.1
146,Central,Iowa,Muscatine,52761,1790.36,1,1790.36,5,,0.0,358.07
147,Central,Iowa,Newton,50208,3066.08,2,1533.04,9,,0.0,340.68
148,Central,Iowa,Ottumwa,52501,4161.75,2,2080.88,4,,0.0,1040.44
149,Central,Iowa,Sioux City,51106,5458.09,2,2729.05,7,,0.0,779.73
150,Central,Iowa,Urbandale,50322,19629.51,1,19629.51,5,,0.0,3925.9
151,Central,Iowa,Waterloo,50701,5758.3,1,5758.3,3,,0.0,1919.43
152,Central,Iowa,West Des Moines,50265,2579.51,2,1289.76,4,,0.0,644.88
153,Central,Kansas,Derby,67037,412.92,2,206.46,2,,0.0,206.46
154,Central,Kansas,Dodge City,67801,12162.87,1,12162.87,4,,0.0,3040.72
155,Central,Kansas,Emporia,66801,3016.34,1,3016.34,6,,0.0,502.72
156,Central,Kansas,Garden City,67846,3934.53,2,1967.27,3,,0.0,1311.51
157,Central,Kansas,Hays,67601,22010.81,2,11005.41,10,,0.0,2201.08
158,Central,Kansas,Hutchinson,67501,4427.47,1,4427.47,5,,0.0,885.49
159,Central,Kansas,Kansas City,66104,3521.25,1,3521.25,4,,0.0,880.31
160,Central,Kansas,Lawrence,66044,170.93,1,170.93,1,,0.0,170.93
161,Central,Kansas,Leavenworth,66048,1465.82,1,1465.82,5,,0.0,293.16
162,Central,Kansas,Leawood,66209,3778.38,3,1259.46,6,,0.0,629.73
163,Central,Kansas,Lenexa,66215,805.97,1,805.97,3,,0.0,268.66
164,Central,Kansas,Liberal,67901,17170.0,1,17170.0,4,,0.0,4292.5
165,Central,Kansas,Manhattan,66502,4796.81,1,4796.81,4,,0.0,1199.2
166,Central,Kansas,Newton,67114,3405.94,2,1702.97,3,,0.0,1135.31
167,Central,Kansas,Olathe,66062,10667.61,3,3555.87,6,,0.0,1777.94
168,Central,Kansas,Overland Park,66212,4283.8,2,2141.9,6,,0.0,713.97
169,Central,Kansas,Pittsburg,66762,3291.59,1,3291.59,7,,0.0,470.23
170,Central,Kansas,Prairie Village,66202,1114.82,2,557.41,5,,0.0,222.96
171,Central,Kansas,Shawnee,66203,1521.97,2,760.99,3,,0.0,507.32
172,Central,Kansas,Topeka,66614,1115.53,1,1115.53,6,,0.0,185.92
173,Central,Kansas,Wichita,67212,5042.48,2,2521.24,4,,0.0,1260.62
174,Central,Michigan,Adrian,49221,9212.08,1,9212.08,4,,0.0,2303.02
175,Central,Michigan,Allen Park,48101,2112.75,2,1056.38,3,,0.0,704.25
176,Central,Michigan,Ann Arbor,48104,3827.5,1,3827.5,5,,0.0,765.5
177,Central,Michigan,Battle Creek,49017,2137.12,1,2137.12,4,,0.0,534.28
178,Central,Michigan,Bay City,48708,7536.29,3,2512.1,8,,0.0,942.04
179,Central,Michigan,Burton,48509,4965.94,1,4965.94,4,,0.0,1241.49
180,Central,Michigan,Canton,48187,2336.0,1,2336.0,3,,0.0,778.67
181,Central,Michigan,Clinton,49236,449.9,1,449.9,3,,0.0,149.97
182,Central,Michigan,Dearborn,48126,1204.8,1,1204.8,3,,0.0,401.6
183,Central,Michigan,Dearborn Heights,48127,2508.31,2,1254.16,6,,0.0,418.05
184,Central,Michigan,Detroit,48138,16710.25,1,16710.25,7,,0.0,2387.18
185,Central,Michigan,Detroit,48205,54190.08,1,54190.08,6,,16.67,9031.68
186,Central,Michigan,Detroit,48227,26471.84,2,13235.92,9,,0.0,2941.32
187,Central,Michigan,Detroit,48234,20117.62,1,20117.62,4,,0.0,5029.41
188,Central,Michigan,East Lansing,48823,1226.82,1,1226.82,3,,0.0,408.94
189,Central,Michigan,Eastpointe,48021,3091.09,2,1545.55,6,,0.0,515.18
190,Central,Michigan,Farmington Hills,48336,2607.21,1,2607.21,2,,0.0,1303.61
191,Central,Michigan,Flint,48505,3787.3,1,3787.3,3,,0.0,1262.43
192,Central,Michigan,Garden City,48135,3902.85,2,1951.43,6,,0.0,650.48
193,Central,Michigan,Grand Rapids,49505,1378.89,1,1378.89,6,,0.0,229.82
194,Central,Michigan,Holland,49423,5129.09,2,2564.55,3,,0.0,1709.7
195,Central,Michigan,Inkster,48141,1709.92,1,1709.92,4,,0.0,427.48
196,Central,Michigan,Jackson,49201,12904.73,3,4301.58,6,,0.0,2150.79
197,Central,Michigan,Kalamazoo,49001,1122.41,1,1122.41,3,,0.0,374.14
198,Central,Michigan,Kentwood,49508,4851.98,1,4851.98,3,,0.0,1617.33
199,Central,Michigan,Lansing,48911,557.65,1,557.65,4,,0.0,139.41
200,Central,Michigan,Lincoln Park,48146,8671.36,1,8671.36,3,,0.0,2890.45
201,Central,Michigan,Livonia,48154,5269.19,3,1756.4,3,,0.0,1756.4
202,Central,Michigan,Madison Heights,48071,6300.7,2,3150.35,9,,0.0,700.08
203,Central,Michigan,Midland,48640,4352.0,3,1450.67,9,,0.0,483.56
204,Central,Michigan,Mount Pleasant,48858,391.29,2,195.65,6,,0.0,65.22
205,Central,Michigan,Muskegon,49442,1451.39,1,1451.39,4,,0.0,362.85
206,Central,Michigan,Novi,48375,680.86,2,340.43,3,,0.0,226.95
207,Central,Michigan,Oak Park,48237,4047.3,1,4047.3,5,,0.0,809.46
208,Central,Michigan,Owosso,48841,9073.96,2,4536.98,5,,0.0,1814.79
209,Central,Michigan,Pontiac,48342,8927.78,1,8927.78,5,,0.0,1785.56
210,Central,Michigan,Port Huron,48060,1691.36,2,845.68,6,,0.0,281.89
211,Central,Michigan,Portage,49002,1515.52,1,1515.52,2,,0.0,757.76
212,Central,Michigan,Redford,48239,1790.74,2,895.37,5,,0.0,358.15
213,Central,Michigan,Rochester Hills,48307,2973.47,1,2973.47,3,,0.0,991.16
214,Central,Michigan,Roseville,48066,9344.02,2,4672.01,4,,0.0,2336.01
215,Central,Michigan,Royal Oak,48073,2655.07,1,2655.07,4,,0.0,663.77
216,Central,Michigan,Saginaw,48601,1083.44,1,1083.44,4,,0.0,270.86
217,Central,Michigan,Saint Clair Shores,48080,186.15,1,186.15,4,,0.0,46.54
218,Central,Michigan,Sault Sainte Marie,49783,4080.55,1,4080.55,4,,0.0,1020.14
219,Central,Michigan,Shelby,49455,325.13,2,162.57,2,,0.0,162.57
220,Central,Michigan,Southfield,48034,3512.06,1,3512.06,2,,0.0,1756.03
221,Central,Michigan,Southgate,48195,10266.49,3,3422.16,11,,0.0,933.32
222,Central,Michigan,Sterling Heights,48310,5726.04,2,2863.02,7,,0.0,818.01
223,Central,Michigan,Taylor,48180,2187.1,1,2187.1,2,,0.0,1093.55
224,Central,Michigan,Trenton,48183,4287.74,2,2143.87,4,,0.0,1071.94
225,Central,Michigan,Troy,48098,704.5,1,704.5,3,,0.0,234.83
226,Central,Michigan,Walker,49534,6630.22,2,3315.11,3,,0.0,2210.07
227,Central,Michigan,Warren,48093,12258.07,1,12258.07,3,,0.0,4086.02
228,Central,Michigan,Waterford,48329,7.48,1,7.48,1,,0.0,7.48
229,Central,Michigan,Westland,48185,1082.02,1,1082.02,2,,0.0,541.01
230,Central,Michigan,Wyoming,49509,169.38,1,169.38,2,,0.0,84.69
231,Central,Minnesota,Apple Valley,55124,5455.9,2,2727.95,6,,0.0,909.32
232,Central,Minnesota,Blaine,55434,4894.42,2,2447.21,3,,0.0,1631.47
233,Central,Minnesota,Bloomington,55420,12.36,1,12.36,1,,0.0,12.36
234,Central,Minnesota,Brooklyn Center,55429,9960.7,1,9960.7,3,,0.0,3320.23
235,Central,Minnesota,Brooklyn Park,55445,2876.44,1,2876.44,4,,0.0,719.11
236,Central,Minnesota,Burnsville,55337,7695.09,2,3847.55,6,,0.0,1282.52
237,Central,Minnesota,Coon Rapids,55433,2015.22,1,2015.22,4,,0.0,503.81
238,Central,Minnesota,Cottage Grove,55016,3816.85,2,1908.43,6,,0.0,636.14
239,Central,Minnesota,Duluth,55803,348.31,1,348.31,3,,0.0,116.1
240,Central,Minnesota,Eagan,55122,1086.91,1,1086.91,4,,0.0,271.73
241,Central,Minnesota,Eden Prairie,55343,3323.75,2,1661.88,6,,0.0,553.96
242,Central,Minnesota,Edina,55410,254.9,2,127.45,4,,0.0,63.73
243,Central,Minnesota,Fridley,55432,2698.8,2,1349.4,5,,0.0,539.76
244,Central,Minnesota,Hopkins,55305,6511.25,2,3255.63,3,,0.0,2170.42
245,Central,Minnesota,Inver Grove Heights,55076,15041.04,2,7520.52,3,,0.0,5013.68
246,Central,Minnesota,Lakeville,55044,3871.57,1,3871.57,3,,0.0,1290.52
247,Central,Minnesota,Lino Lakes,55014,3185.58,1,3185.58,5,,0.0,637.12
248,Central,Minnesota,Mankato,56001,10532.3,2,5266.15,7,,0.0,1504.61
249,Central,Minnesota,Maple Grove,55369,1298.38,1,1298.38,3,,0.0,432.79
250,Central,Minnesota,Maplewood,55119,1775.8,1,1775.8,3,,0.0,591.93
251,Central,Minnesota,Minneapolis,55407,832.11,3,277.37,5,,0.0,166.42
252,Central,Minnesota,Minnetonka,55345,2637.64,1,2637.64,7,,0.0,376.81
253,Central,Minnesota,Minnetonka Mills,55343,5294.86,2,2647.43,4,,0.0,1323.72
254,Central,Minnesota,Moorhead,56560,1483.32,2,741.66,2,,0.0,741.66
255,Central,Minnesota,Oakdale,55128,2276.6,1,2276.6,4,,0.0,569.15
256,Central,Minnesota,Owatonna,55060,2669.0,1,2669.0,5,,0.0,533.8
257,Central,Minnesota,Plymouth,55441,3389.79,1,3389.79,2,,0.0,1694.9
258,Central,Minnesota,Prior Lake,55372,6896.93,5,1379.39,12,,0.0,574.74
259,Central,Minnesota,Red Wing,55066,3877.05,2,1938.53,6,,0.0,646.18
260,Central,Minnesota,Richfield,55423,3181.75,2,1590.88,4,,0.0,795.44
261,Central,Minnesota,Rochester,55901,7944.06,1,7944.06,5,,0.0,1588.81
262,Central,Minnesota,Roseville,55113,16693.42,3,5564.47,7,,0.0,2384.77
263,Central,Minnesota,Saint Cloud,56301,1300.82,1,1300.82,3,,0.0,433.61
264,Central,Minnesota,Saint Louis Park,55416,3508.77,1,3508.77,2,,0.0,1754.39
265,Central,Minnesota,Saint Paul,55106,9100.19,1,9100.19,4,,0.0,2275.05
266,Central,Minnesota,Savage,55378,4015.16,2,2007.58,5,,0.0,803.03
267,Central,Minnesota,Shakopee,55379,2954.01,1,2954.01,3,,0.0,984.67
268,Central,Minnesota,Shoreview,55126,9657.04,2,4828.52,7,,0.0,1379.58
269,Central,Minnesota,Woodbury,55125,12498.61,2,6249.31,4,,0.0,3124.65
270,Central,Missouri,Bridgeton,63044,1125.2,2,562.6,2,,0.0,562.6
271,Central,Missouri,Clayton,63105,535.72,2,267.86,5,,0.0,107.14
272,Central,Missouri,Columbia,65203,532.46,2,266.23,5,,0.0,106.49
273,Central,Missouri,Creve Coeur,63141,4058.05,1,4058.05,7,,0.0,579.72
274,Central,Missouri,Ferguson,63135,3200.53,1,3200.53,3,,0.0,1066.84
275,Central,Missouri,Florissant,63031,439.58,1,439.58,1,,0.0,439.58
276,Central,Missouri,Gladstone,64118,5605.98,1,5605.98,5,,0.0,1121.2
277,Central,Missouri,Hazelwood,63042,1522.54,1,1522.54,5,,0.0,304.51
278,Central,Missouri,Independence,64055,1138.19,2,569.1,5,,0.0,227.64
279,Central,Missouri,Jefferson City,65109,10888.2,1,10888.2,2,,0.0,5444.1
280,Central,Missouri,Joplin,64804,2309.63,1,2309.63,2,,0.0,1154.82
281,Central,Missouri,Kansas City,64130,1831.43,1,1831.43,5,,0.0,366.29
282,Central,Missouri,Kirkwood,63122,6380.42,1,6380.42,5,,0.0,1276.08
283,Central,Missouri,Lees Summit,64064,165.16,1,165.16,2,,0.0,82.58
284,Central,Missouri,Maryland Heights,63043,1948.44,1,1948.44,3,,0.0,649.48
285,Central,Missouri,Mehlville,63129,19409.72,1,19409.72,5,,0.0,3881.94
286,Central,Missouri,Oakville,63129,3871.11,2,1935.56,6,,0.0,645.19
287,Central,Missouri,Overland,63114,2293.39,1,2293.39,2,,0.0,1146.7
288,Central,Missouri,Ozark,65721,3865.17,2,1932.59,4,,0.0,966.29
289,Central,Missouri,Raytown,64133,9183.03,1,9183.03,4,,0.0,2295.76
290,Central,Missouri,Saint Charles,63301,247.65,1,247.65,1,,0.0,247.65
291,Central,Missouri,Saint Joseph,64506,850.6,1,850.6,1,,0.0,850.6
292,Central,Missouri,Saint Louis,63116,10193.83,1,10193.83,5,,0.0,2038.77
293,Central,Missouri,Saint Peters,63376,1109.27,4,277.32,7,,0.0,158.47
294,Central,Missouri,Springfield,65807,4240.55,1,4240.55,5,,0.0,848.11
295,Central,Missouri,University City,63130,3578.1,3,1192.7,11,,0.0,325.28
296,Central,Missouri,Webster Groves,63119,7882.04,2,3941.02,6,,0.0,1313.67
297,Central,Missouri,Wentzville,63385,1856.89,2,928.45,3,,0.0,618.96
298,Central,Nebraska,Bellevue,68005,1555.09,2,777.55,4,,0.0,388.77
299,Central,Nebraska,Columbus,68601,2908.12,1,2908.12,5,,0.0,581.62
300,Central,Nebraska,Fremont,68025,1378.75,1,1378.75,3,,0.0,459.58
301,Central,Nebraska,Grand Island,68801,1515.46,1,1515.46,3,,0.0,505.15
302,Central,Nebraska,Hastings,68901,190.84,2,95.42,4,,0.0,47.71
303,Central,Nebraska,Kearney,68847,2962.39,1,2962.39,5,,0.0,592.48
304,Central,Nebraska,La Vista,68128,7964.7,2,3982.35,6,,0.0,1327.45
305,Central,Nebraska,Lincoln,68502,3749.18,2,1874.59,6,,0.0,624.86
306,Central,Nebraska,Norfolk,68701,2349.54,1,2349.54,5,,0.0,469.91
307,Central,Nebraska,North Platte,69101,4964.61,2,2482.31,4,,0.0,1241.15
308,Central,Nebraska,Omaha,68046,2931.44,1,2931.44,4,,0.0,732.86
309,Central,Nebraska,Omaha,68104,3166.05,1,3166.05,4,,0.0,791.51
310,Central,Nebraska,Papillion,68046,4765.08,3,1588.36,6,,0.0,794.18
311,Central,North Dakota,Bismarck,58501,3488.7,2,1744.35,5,,0.0,697.74
312,Central,North Dakota,Dickinson,58601,317.12,1,317.12,3,,0.0,105.71
313,Central,North Dakota,Fargo,58103,370.99,1,370.99,3,,0.0,123.66
314,Central,North Dakota,Grand Forks,58201,4164.51,1,4164.51,2,,0.0,2082.26
315,Central,North Dakota,Mandan,58554,6396.87,2,3198.44,5,,0.0,1279.37
316,Central,North Dakota,Minot,58701,2504.25,2,1252.13,5,,0.0,500.85
317,Central,Oklahoma,Altus,73521,1052.66,1,1052.66,3,,0.0,350.89
318,Central,Oklahoma,Bartlesville,74006,3561.35,4,890.34,11,,0.0,323.76
319,Central,Oklahoma,Broken Arrow,74012,2421.49,2,1210.75,2,,0.0,1210.75
320,Central,Oklahoma,Edmond,73034,5738.45,1,5738.45,1,,0.0,5738.45
321,Central,Oklahoma,Enid,73703,2475.36,1,2475.36,5,,0.0,495.07
322,Central,Oklahoma,Lawton,73505,471.14,1,471.14,3,,0.0,157.05
323,Central,Oklahoma,Midwest City,73110,1768.02,2,884.01,8,,0.0,221.0
324,Central,Oklahoma,Moore,73160,1377.35,2,688.68,6,,0.0,229.56
325,Central,Oklahoma,Muskogee,74403,355.92,1,355.92,3,,0.0,118.64
326,Central,Oklahoma,Mustang,73064,3760.23,2,1880.12,7,,0.0,537.18
327,Central,Oklahoma,Norman,73071,7219.03,1,7219.03,5,,0.0,1443.81
328,Central,Oklahoma,Oklahoma City,73120,3171.49,1,3171.49,5,,0.0,634.3
329,Central,Oklahoma,Owasso,74055,4041.79,2,2020.9,4,,0.0,1010.45
