product_id,product_name,product_category,product_sub_category,product_container
119,acme elite stainless steel scissors,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack
120,acme forged steel scissors with black enamel handles,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack
121,acme galleria hot forged steel scissors with colored handles,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack
122,acme hot forged carbon steel scissors with nickelplated handles 3 78 cut 8l,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack
123,acme kleencut forged steel scissors,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack
124,acme office executive series stainless steel trimmers,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack
125,acme preferred stainless steel scissors,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack
126,adams phone message book 200 message capacity 8 116 x 11,Office Supplies,Paper,Wrap Bag
127,adams phone message book professional 400 message capacity 5 36 x 11,Office Supplies,Paper,Wrap Bag
128,adams telephone message book wdividersspace for phone numbers 5 14x8 12 200messages,Office Supplies,Paper,Wrap Bag
129,adams telephone message book wdividersspace for phone numbers 5 14x8 12 300messages,Office Supplies,Paper,Wrap Bag
130,adams telephone message book wfrequentlycalled numbers space 400 messages per book,Office Supplies,Paper,Wrap Bag
131,adams telephone message books 5 14 x 11,Office Supplies,Paper,Wrap Bag
132,adams while you were out message pads,Office Supplies,Paper,Wrap Bag
133,adams write n stick phone message book 11 x 5 14 200 messages,Office Supplies,Paper,Wrap Bag
134,adesso programmable 142key keyboard,Technology,Computer Peripherals,Small Box
135,advantus 10drawer portable organizer chrome metal frame smoke drawers,Office Supplies,Storage & Organization,Small Box
136,advantus employee of the month certificate frame 11 x 1312,Furniture,Office Furnishings,Small Pack
137,advantus map pennant flags and round head tacks,Office Supplies,Rubber Bands,Wrap Bag
138,advantus panel wall acrylic frame,Furniture,Office Furnishings,Small Pack
139,advantus panel wall certificate holder  85x11,Furniture,Office Furnishings,Small Pack
140,advantus plastic paper clips,Office Supplies,Rubber Bands,Wrap Bag
141,advantus push pins,Office Supplies,Rubber Bands,Wrap Bag
142,advantus push pins aluminum head,Office Supplies,Rubber Bands,Wrap Bag
143,advantus rolling storage box,Office Supplies,Storage & Organization,Small Box
144,advantus slideclip paper clips,Office Supplies,Rubber Bands,Wrap Bag
145,airmail envelopes,Office Supplies,Envelopes,Small Box
146,alliance rubber bands,Office Supplies,Rubber Bands,Wrap Bag
147,aluminum document frame,Furniture,Office Furnishings,Small Pack
148,ames colorfile green diamond border xray mailers,Office Supplies,Envelopes,Small Box
149,ampad 10 peel  seel holiday envelopes,Office Supplies,Envelopes,Small Box
150,ampad evidence wirebond steno books 6 x 9,Office Supplies,Paper,Wrap Bag
151,anderson hickey conga table tops  accessories,Furniture,Tables,Jumbo Box
152,angled binders with locking rings label holders,Office Supplies,Binders and Binder Accessories,Small Box
153,apc 7 outlet network surgearrest surge protector,Office Supplies,Appliances,Small Box
154,array memo cubes,Office Supplies,Paper,Wrap Bag
155,array parchment paper assorted colors,Office Supplies,Paper,Small Box
156,artistic instaplaque,Furniture,Office Furnishings,Small Pack
157,assorted color push pins,Office Supplies,Rubber Bands,Wrap Bag
158,astroparche fine business paper,Office Supplies,Paper,Small Box
159,atlantic metals mobile 2shelf bookcases custom colors,Furniture,Bookcases,Jumbo Box
160,atlantic metals mobile 3shelf bookcases custom colors,Furniture,Bookcases,Jumbo Box
161,atlantic metals mobile 5shelf bookcases custom colors,Furniture,Bookcases,Jumbo Box
162,att 1430 24ghz analog phone wcaller id,Technology,Office Machines,Small Box
163,att 2230 dual handset phone with caller idcall waiting,Technology,Office Machines,Small Box
164,att black trimline phone model 210,Technology,Office Machines,Small Box
165,avanti 17 cu ft refrigerator,Office Supplies,Appliances,Jumbo Drum
166,avanti 44 cu ft refrigerator,Office Supplies,Appliances,Jumbo Drum
167,avery 05222 permanent selfadhesive file folder labels for typewriters on rolls white 250roll,Office Supplies,Labels,Small Box
168,avery 3 12 diskette storage pages 10pack,Office Supplies,Binders and Binder Accessories,Small Box
169,avery 4027 file folder labels for dot matrix printers 5000 labels per box white,Office Supplies,Labels,Small Box
170,avery 474,Office Supplies,Labels,Small Box
171,avery 478,Office Supplies,Labels,Small Box
172,avery 479,Office Supplies,Labels,Small Box
173,avery 48,Office Supplies,Labels,Small Box
174,avery 481,Office Supplies,Labels,Small Box
175,avery 482,Office Supplies,Labels,Small Box
176,avery 484,Office Supplies,Labels,Small Box
177,avery 485,Office Supplies,Labels,Small Box
178,avery 487,Office Supplies,Labels,Small Box
179,avery 49,Office Supplies,Labels,Small Box
180,avery 491,Office Supplies,Labels,Small Box
181,avery 492,Office Supplies,Labels,Small Box
182,avery 493,Office Supplies,Labels,Small Box
183,avery 494,Office Supplies,Labels,Small Box
184,avery 496,Office Supplies,Labels,Small Box
185,avery 497,Office Supplies,Labels,Small Box
186,avery 498,Office Supplies,Labels,Small Box
187,avery 501,Office Supplies,Labels,Small Box
188,avery 503,Office Supplies,Labels,Small Box
189,avery 504,Office Supplies,Labels,Small Box
190,avery 506,Office Supplies,Labels,Small Box
191,avery 507,Office Supplies,Labels,Small Box
192,avery 508,Office Supplies,Labels,Small Box
193,avery 51,Office Supplies,Labels,Small Box
194,avery 510,Office Supplies,Labels,Small Box
195,avery 511,Office Supplies,Labels,Small Box
196,avery 514,Office Supplies,Labels,Small Box
197,avery 516,Office Supplies,Labels,Small Box
198,avery 52,Office Supplies,Labels,Small Box
199,avery 520,Office Supplies,Labels,Small Box
200,avery arch ring binders,Office Supplies,Binders and Binder Accessories,Small Box
201,avery binder labels,Office Supplies,Binders and Binder Accessories,Small Box
202,avery binding system hidden tab executive style index sets,Office Supplies,Binders and Binder Accessories,Small Box
203,avery durable binders,Office Supplies,Binders and Binder Accessories,Small Box
204,avery durable plastic 1 binders,Office Supplies,Binders and Binder Accessories,Small Box
205,avery durable poly binders,Office Supplies,Binders and Binder Accessories,Small Box
206,avery durable slant ring binders with label holder,Office Supplies,Binders and Binder Accessories,Small Box
207,avery file folder labels,Office Supplies,Labels,Small Box
208,avery flipchart easel binder black,Office Supplies,Binders and Binder Accessories,Small Box
209,avery hanging file binders,Office Supplies,Binders and Binder Accessories,Small Box
210,avery heavyduty ezd  binder with locking rings,Office Supplies,Binders and Binder Accessories,Small Box
211,avery hiliter comfort grip fluorescent highlighter yellow ink,Office Supplies,Pens & Art Supplies,Wrap Bag
212,avery hiliter everbold pen style fluorescent highlighters 4pack,Office Supplies,Pens & Art Supplies,Wrap Bag
213,avery hiliter fluorescent desk style markers,Office Supplies,Pens & Art Supplies,Wrap Bag
214,avery hiliter glidestik fluorescent highlighter yellow ink,Office Supplies,Pens & Art Supplies,Wrap Bag
215,avery hiliter pen style sixcolor fluorescent set,Office Supplies,Pens & Art Supplies,Wrap Bag
216,avery hiliter smearsafe highlighters,Office Supplies,Pens & Art Supplies,Wrap Bag
217,avery hole reinforcements,Office Supplies,Binders and Binder Accessories,Small Box
218,avery legal 4ring binder,Office Supplies,Binders and Binder Accessories,Small Box
219,avery nonstick binders,Office Supplies,Binders and Binder Accessories,Small Box
220,avery poly binder pockets,Office Supplies,Binders and Binder Accessories,Small Box
221,avery premier heavyduty binder with round locking rings,Office Supplies,Binders and Binder Accessories,Small Box
222,avery printable repositionable plastic tabs,Office Supplies,Binders and Binder Accessories,Small Box
223,avery reinforcements for holepunch pages,Office Supplies,Binders and Binder Accessories,Small Box
224,avery round ring poly binders,Office Supplies,Binders and Binder Accessories,Small Box
225,avery selfadhesive photo pockets for polaroid photos,Office Supplies,Binders and Binder Accessories,Small Box
226,avery trapezoid extra heavy duty 4 binders,Office Supplies,Binders and Binder Accessories,Small Box
227,avery trapezoid ring binder 3 capacity black 1040 sheets,Office Supplies,Binders and Binder Accessories,Small Box
228,avery white multipurpose labels,Office Supplies,Labels,Small Box
229,avoid verbal orders carbonless minifold book,Office Supplies,Paper,Wrap Bag
230,bagged rubber bands,Office Supplies,Rubber Bands,Wrap Bag
231,balt solid wood rectangular table,Furniture,Tables,Jumbo Box
232,balt split level computer training table,Furniture,Tables,Jumbo Box
233,barrel sharpener,Office Supplies,Pens & Art Supplies,Small Pack
234,barricks 18 x 48 nonfolding utility table with bottom storage shelf,Furniture,Tables,Jumbo Drum
235,barricks nonfolding utility table with steel legs laminate tops,Furniture,Tables,Jumbo Drum
236,basf silver 74 minute cdr,Technology,Computer Peripherals,Small Pack
237,belkin 105key black keyboard,Technology,Computer Peripherals,Small Box
238,belkin 107key enhanced keyboard usbps2 interface,Technology,Computer Peripherals,Small Box
239,belkin 325va ups surge protector 6,Office Supplies,Appliances,Small Box
240,belkin 5 outlet surgemaster power centers,Office Supplies,Appliances,Small Box
241,belkin 6 outlet metallic surge strip,Office Supplies,Appliances,Small Box
242,belkin 7 outlet surgemaster surge protector with phone protection,Office Supplies,Appliances,Small Box
243,belkin 8 outlet surge protector,Office Supplies,Appliances,Small Box
244,belkin 8 outlet surgemaster ii gold surge protector,Office Supplies,Appliances,Small Box
245,belkin 8 outlet surgemaster ii gold surge protector with phone protection,Office Supplies,Appliances,Small Box
246,belkin ergoboard keyboard,Technology,Computer Peripherals,Small Box
247,belkin f5c206vtel 6 outlet surge,Office Supplies,Appliances,Small Box
248,belkin f9m820v08 8 outlet surge,Office Supplies,Appliances,Small Box
249,belkin mediaboard 104 keyboard,Technology,Computer Peripherals,Small Box
250,belkin omniview se rackmount kit,Office Supplies,Storage & Organization,Large Box
251,belkin premiere surge master ii 8outlet surge protector,Office Supplies,Appliances,Small Box
252,bell sonecor jb700 caller id,Technology,Telephones and Communication,Medium Box
253,berol giant pencil sharpener,Office Supplies,Pens & Art Supplies,Small Pack
254,bevis 36 x 72 conference tables,Furniture,Tables,Jumbo Box
255,bevis boatshaped conference table,Furniture,Tables,Jumbo Box
256,bevis rectangular conference tables,Furniture,Tables,Jumbo Box
257,bevis round bullnose 29 high table top,Furniture,Tables,Jumbo Box
258,bevis round conference room tables and bases,Furniture,Tables,Jumbo Box
259,bevis round conference table top  single column base,Furniture,Tables,Jumbo Box
260,bevis round conference table top xbase,Furniture,Tables,Jumbo Box
261,bevis steel folding chairs,Furniture,Chairs & Chairmats,Jumbo Drum
262,binder clips by oic,Office Supplies,Rubber Bands,Wrap Bag
263,binder posts,Office Supplies,Binders and Binder Accessories,Small Box
264,binding machine supplies,Office Supplies,Binders and Binder Accessories,Small Box
265,binney  smith crayola metallic colored pencils 8color set,Office Supplies,Pens & Art Supplies,Wrap Bag
266,binney  smith inktank erasable desk highlighter chisel tip yellow 12box,Office Supplies,Pens & Art Supplies,Wrap Bag
267,binney  smith inktank erasable pocket highlighter chisel tip yellow,Office Supplies,Pens & Art Supplies,Wrap Bag
268,bionaire 9997 hepa air cleaner,Office Supplies,Appliances,Medium Box
269,bionaire personal warm mist humidifiervaporizer,Office Supplies,Appliances,Medium Box
270,black print carbonless 8 12 x 8 14 rapid memo book,Office Supplies,Paper,Wrap Bag
271,black print carbonless snapoff rapid letter 8 12 x 7,Office Supplies,Paper,Wrap Bag
272,blackstonian pencils,Office Supplies,Pens & Art Supplies,Wrap Bag
273,blue stringtie  button interoffice envelopes 10 x 13,Office Supplies,Envelopes,Small Box
274,boston 1645 deluxe heavierduty electric pencil sharpener,Office Supplies,Pens & Art Supplies,Small Pack
275,boston 16701 slimline battery pencil sharpener,Office Supplies,Pens & Art Supplies,Small Pack
276,boston 16765 mini stand up battery pencil sharpener,Office Supplies,Pens & Art Supplies,Small Pack
277,boston 16801 nautilus battery pencil sharpener,Office Supplies,Pens & Art Supplies,Small Pack
278,boston 1730 standup electric pencil sharpener,Office Supplies,Pens & Art Supplies,Small Pack
279,boston 1799 powerhouse electric pencil sharpener,Office Supplies,Pens & Art Supplies,Small Pack
280,boston 19500 mighty mite electric pencil sharpener,Office Supplies,Pens & Art Supplies,Small Pack
281,boston electric pencil sharpener model 1818 charcoal black,Office Supplies,Pens & Art Supplies,Small Pack
282,boston ks multisize manual pencil sharpener,Office Supplies,Pens & Art Supplies,Small Pack
283,boston model 1800 electric pencil sharpener gray,Office Supplies,Pens & Art Supplies,Small Pack
284,boston ranger 55 pencil sharpener black,Office Supplies,Pens & Art Supplies,Small Box
285,boston school pro electric pencil sharpener 1670,Office Supplies,Pens & Art Supplies,Small Pack
286,boxoffice by design rectangular and halfmoon meeting room tables,Furniture,Tables,Jumbo Box
287,bpi conference tables,Furniture,Tables,Jumbo Box
288,bravo ii megaboss 12amp hard body upright replacement belts 2 belts per pack,Office Supplies,Appliances,Large Box
289,bretford cr4500 series slim rectangular table,Furniture,Tables,Jumbo Box
290,bretford cr8500 series meeting room furniture,Furniture,Tables,Jumbo Box
291,bretford just in time heightadjustable multitask work tables,Furniture,Tables,Jumbo Box
292,bretford rectangular conference table tops,Furniture,Tables,Jumbo Box
293,brites rubber bands 1 12 oz box,Office Supplies,Rubber Bands,Wrap Bag
294,brother dcp1000 digital 3 in 1 multifunction machine,Technology,Copiers and Fax,Large Box
295,brown kraft recycled envelopes,Office Supplies,Envelopes,Small Box
296,bush advantage collection racetrack conference table,Furniture,Tables,Jumbo Box
297,bush advantage collection round conference table,Furniture,Tables,Jumbo Box
298,bush cubix collection bookcases fully assembled,Furniture,Bookcases,Jumbo Box
299,bush cubix conference tables fully assembled,Furniture,Tables,Jumbo Box
300,bush heritage pine collection 5shelf bookcase albany pine finish special order,Furniture,Bookcases,Jumbo Box
301,bush mission pointe library,Furniture,Bookcases,Jumbo Box
302,bush westfield collection bookcases dark cherry finish fully assembled,Furniture,Bookcases,Jumbo Box
303,bush westfield collection bookcases fully assembled,Furniture,Bookcases,Jumbo Box
304,canon bp1200dh 12digit bubble jet printing calculator,Technology,Office Machines,Medium Box
305,canon f603 scientific calculator,Technology,Office Machines,Medium Box
306,canon image class d660 copier,Technology,Copiers and Fax,Large Box
307,canon imageclass 2200 advanced copier,Technology,Copiers and Fax,Large Box
308,canon imageclass d680 copier  fax,Technology,Copiers and Fax,Large Box
309,canon mp100dhii printing calculator,Technology,Office Machines,Medium Box
310,canon mp25diii desktop whisperquiet printing calculator,Technology,Office Machines,Medium Box
311,canon mp41dh printing calculator,Technology,Office Machines,Medium Box
312,canon p1dhiii palm printing calculator,Technology,Office Machines,Medium Box
313,canon pc1060 personal laser copier,Technology,Copiers and Fax,Large Box
314,canon pc1080f personal copier,Technology,Copiers and Fax,Large Box
315,canon pc428 personal copier,Technology,Copiers and Fax,Large Box
316,canon pc940 copier,Technology,Copiers and Fax,Jumbo Drum
317,canon pc940 copier,Technology,Copiers and Fax,Large Box
318,canon s750 color inkjet printer,Technology,Office Machines,Jumbo Drum
319,cardinal holdit business card pockets,Office Supplies,Binders and Binder Accessories,Small Box
320,cardinal poly pocket divider pockets for ring binders,Office Supplies,Binders and Binder Accessories,Small Box
321,cardinal slantd ring binder heavy gauge vinyl,Office Supplies,Binders and Binder Accessories,Small Box
322,career cubicle clock 8 14 black,Furniture,Office Furnishings,Small Box
323,carina 42hx23 34w media storage unit,Office Supplies,Storage & Organization,Large Box
324,carina double wide media storage towers in natural  black,Office Supplies,Storage & Organization,Large Box
325,carina mini system audio rack model ar050b,Office Supplies,Storage & Organization,Large Box
326,catalog binders with expanding posts,Office Supplies,Binders and Binder Accessories,Small Box
327,cf 688,Technology,Telephones and Communication,Small Box
328,cf 888,Technology,Telephones and Communication,Small Box
329,chromcraft 48 x 96 racetrack double pedestal table,Furniture,Tables,Jumbo Box
330,chromcraft bullnose wood 48 x 96 rectangular conference tables,Furniture,Tables,Jumbo Box
331,chromcraft bullnose wood oval conference tables  bases,Furniture,Tables,Jumbo Box
332,chromcraft bullnose wood round conference table top wood base,Furniture,Tables,Jumbo Box
333,chromcraft rectangular conference tables,Furniture,Tables,Jumbo Box
334,cline cubicle keepers polyproplyene holder wvelcro back 812x11 25bx,Furniture,Office Furnishings,Small Box
335,cline peel  stick addon filing pockets 834 x 518 10pack,Office Supplies,Binders and Binder Accessories,Small Box
336,colerase pencils with erasers,Office Supplies,Pens & Art Supplies,Wrap Bag
337,colored envelopes,Office Supplies,Envelopes,Small Box
338,colored push pins,Office Supplies,Rubber Bands,Wrap Bag
339,coloredge poster frame,Furniture,Office Furnishings,Wrap Bag
340,colorific watercolor pencils,Office Supplies,Pens & Art Supplies,Wrap Bag
341,companion letterlegal file black,Office Supplies,Storage & Organization,Small Box
342,computer printout index tabs,Office Supplies,Binders and Binder Accessories,Small Box
343,computer printout paper with lettertrim perforations,Office Supplies,Paper,Small Box
344,computer room manger 14,Furniture,Office Furnishings,Small Box
345,conquest 14 commercial heavyduty upright vacuum collection system accessory kit,Office Supplies,Appliances,Small Box
346,contemporary woodmetal frame,Furniture,Office Furnishings,Small Box
347,crateafiles,Office Supplies,Storage & Organization,Small Box
348,crayola anti dust chalk 12pack,Office Supplies,Pens & Art Supplies,Wrap Bag
349,crayola colored pencils,Office Supplies,Pens & Art Supplies,Wrap Bag
350,dana fluorescent magnifying lamp white 36,Furniture,Office Furnishings,Large Box
351,dana halogen swingarm architect lamp,Furniture,Office Furnishings,Large Box
352,dana swingarm lamps,Furniture,Office Furnishings,Large Box
353,dax charcoalnickeltone document frame 5 x 7,Furniture,Office Furnishings,Small Pack
354,dax clear channel poster frame,Furniture,Office Furnishings,Small Box
355,dax contemporary wood frame with silver metal mat desktop 11 x 14 size,Furniture,Office Furnishings,Small Pack
356,dax copper panel document frame 5 x 7 size,Furniture,Office Furnishings,Small Box
357,dax cubicle frames  8x10,Furniture,Office Furnishings,Medium Box
358,dax cubicle frames 812 x 11,Furniture,Office Furnishings,Small Pack
359,dax metal frame desktop steppededge,Furniture,Office Furnishings,Small Pack
360,dax natural woodtone poster frame,Furniture,Office Furnishings,Small Box
361,dax solid wood frames,Furniture,Office Furnishings,Medium Box
362,dax twotone rosewoodblack document frame desktop 5 x 7,Furniture,Office Furnishings,Small Pack
363,dax value uchannel document frames easel back,Furniture,Office Furnishings,Medium Box
364,dax wood document frame,Furniture,Office Furnishings,Small Pack
365,dax wood document frame,Furniture,Office Furnishings,Wrap Bag
366,decoflex hanging personal folder file,Office Supplies,Storage & Organization,Small Box
367,decoflex hanging personal folder file blue,Office Supplies,Storage & Organization,Small Box
368,deflecto duramat antistatic studded beveled mat for medium pile carpeting,Furniture,Office Furnishings,Large Box
369,deflecto economat nonstudded no bevel mat,Furniture,Office Furnishings,Medium Box
370,deflecto economat studded no bevel mat for low pile carpeting,Furniture,Office Furnishings,Medium Box
371,deflecto glass clear studded chair mats,Furniture,Office Furnishings,Medium Box
372,deflecto glasstique clear desk accessories,Furniture,Office Furnishings,Wrap Bag
373,deflecto rollamat studded beveled mat for medium pile carpeting,Furniture,Office Furnishings,Medium Box
374,deflecto supertray unbreakable stackable tray letter black,Furniture,Office Furnishings,Small Box
375,deluxe rollaway locking file with drawer,Office Supplies,Storage & Organization,Small Box
376,desktop 3pocket hot file,Office Supplies,Storage & Organization,Small Box
377,dixon my first ticonderoga pencil 2,Office Supplies,Pens & Art Supplies,Wrap Bag
378,dixon oriole pencils,Office Supplies,Pens & Art Supplies,Wrap Bag
379,dixon prang watercolor pencils 10color set with brush,Office Supplies,Pens & Art Supplies,Wrap Bag
380,dixon ticonderoga corelock colored pencils,Office Supplies,Pens & Art Supplies,Wrap Bag
381,dixon ticonderoga corelock colored pencils 48color set,Office Supplies,Pens & Art Supplies,Wrap Bag
382,dixon ticonderoga erasable checking pencils,Office Supplies,Pens & Art Supplies,Wrap Bag
383,dixon ticonderoga erasable colored pencil set 12color,Office Supplies,Pens & Art Supplies,Wrap Bag
384,dmi arturo collection missionstyle design wood chair,Furniture,Chairs & Chairmats,Jumbo Drum
385,dmi eclipse executive suite bookcases,Furniture,Bookcases,Jumbo Box
386,document clip frames,Furniture,Office Furnishings,Wrap Bag
387,dot matrix printer tape reel labels white 5000box,Office Supplies,Labels,Small Box
388,dpc 650 piper,Technology,Telephones and Communication,Small Box
389,dshd ibm formatted diskettes 10pack  staples,Technology,Computer Peripherals,Small Pack
390,dshd ibm formatted diskettes 200pack  staples,Technology,Computer Peripherals,Small Pack
391,dual level singlewidth filing carts,Office Supplies,Storage & Organization,Small Box
392,durable pressboard binders,Office Supplies,Binders and Binder Accessories,Small Box
